# E-8b corrected native PathMap<Par> E-6a treatment — raw submitted samples
# Local measurement date: 2026-08-04; pgmcp experiment/hypothesis: 171/171
# Refs: mettail-rust 9dccb346 (runtime treatment bb98055b); f1r3node-rust-mettail b30a1568
# Cell: swap_comb n=16; CPU 0; amd-pstate-epp performance; boost=1; MemoryHigh=8G; MemoryMax=10G; MemorySwapMax=0
# Protocol: 54 total repetitions per arm, first 3 warmups excluded, 51 measured samples submitted; control then treatment
# Finalized digests: control sha256:a772a2eca0168211419830a1ed4d825a530e603a7548e529eee30196844cb0ca; treatment sha256:d8719f33bd6a61902487ead45eea774f9ba22770114b50529b5e4df3d58f842d
# Decision: accepted; one-sided Welch p=9.879927086884607e-210; Cohen d=-274.6971774906545; CI=[-13.56987111140986,-13.531093202315644] ms
sample	source_rep	control_inj_ms	treatment_inj_ms	treatment_phase1_inj_ms	treatment_phase2_inj_ms
1	3	32.267305	18.705845	9.145865	9.559980
2	4	32.227440	18.696558	9.121780	9.574778
3	5	32.256375	18.702408	9.109746	9.592662
4	6	32.284127	18.716486	9.111390	9.605096
5	7	32.277264	18.711025	9.100288	9.610737
6	8	32.227650	18.679856	9.094688	9.585168
7	9	32.265342	18.712728	9.101671	9.611057
8	10	32.436245	18.718560	9.092915	9.625645
9	11	32.207401	18.684897	9.079069	9.605828
10	12	32.286060	18.710003	9.095870	9.614133
11	13	32.308243	18.704594	9.088757	9.615837
12	14	32.188405	18.746742	9.104316	9.642426
13	15	32.238840	18.734619	9.128141	9.606478
14	16	32.264199	18.698803	9.118123	9.580680
15	17	32.214885	18.673604	9.087264	9.586340
16	18	32.254841	18.729470	9.102152	9.627318
17	19	32.296090	18.723519	9.086763	9.636756
18	20	32.324653	18.931242	9.291551	9.639691
19	21	32.228061	18.738477	9.143110	9.595367
20	22	32.310968	18.733328	9.126298	9.607030
21	23	32.285419	18.719100	9.112692	9.606408
22	24	32.264440	18.709513	9.102543	9.606970
23	25	32.275411	18.708701	9.107332	9.601369
24	26	32.276612	18.819470	9.171844	9.647626
25	27	32.270891	18.711577	9.114656	9.596921
26	28	32.289467	18.726065	9.116450	9.609615
27	29	32.266223	18.721555	9.098385	9.623170
28	30	32.304446	18.714363	9.123764	9.590599
29	31	32.303213	18.834249	9.168849	9.665400
30	32	32.244472	18.711716	9.093315	9.618401
31	33	32.249120	18.700655	9.090570	9.610085
32	34	32.268657	18.904232	9.228522	9.675710
33	35	32.309464	18.703561	9.116970	9.586591
34	36	32.273136	18.688433	9.103625	9.584808
35	37	32.295849	18.674807	9.084198	9.590609
36	38	32.353618	18.710384	9.107211	9.603173
37	39	32.239983	18.703932	9.136808	9.567124
38	40	32.294807	18.688161	9.084749	9.603412
39	41	32.307732	18.852743	9.198244	9.654499
40	42	32.244352	18.744820	9.135105	9.609715
41	43	32.256183	18.732026	9.111130	9.620896
42	44	32.302672	18.691919	9.118984	9.572935
43	45	32.353849	18.720061	9.121478	9.598583
44	46	32.410527	18.696307	9.116319	9.579988
45	47	32.272434	18.724040	9.142128	9.581912
46	48	32.273216	18.763194	9.142048	9.621146
47	49	32.294596	18.740742	9.108815	9.631927
48	50	32.277163	18.708861	9.106120	9.602741
49	51	32.301360	18.828909	9.165322	9.663587
50	52	32.282995	18.740312	9.122311	9.618001
51	53	32.321939	18.706878	9.098395	9.608483
