axis	subject	points	Ir_exponent	Dr_exponent	Dw_exponent	verdict
depth	substitute_no_sort	4	0.9464	0.8755	0.8642	PASS_SUBQUADRATIC
depth	substitute_binders	4	0.9810	0.9477	0.9418	PASS_SUBQUADRATIC
depth	substitute	4	0.9657	0.9183	0.9082	PASS_SUBQUADRATIC
depth	sort	4	1.0057	1.0308	1.0366	PASS_SUBQUADRATIC
depth	sort_nested_set	4	1.0068	1.0323	1.0375	PASS_SUBQUADRATIC
depth	sort_nested_map	4	1.0023	1.0143	1.0168	PASS_SUBQUADRATIC
depth	score_cmp	4	0.9827	0.9864	0.9875	PASS_SUBQUADRATIC
depth	tree_drop	4	0.9878	0.9902	0.9906	PASS_SUBQUADRATIC
depth	tree_clone	4	0.9808	1.0113	1.0260	PASS_SUBQUADRATIC
depth	eval_with_nots	4	1.0088	1.0244	1.0241	PASS_SUBQUADRATIC
depth	bincode_de	4	0.9992	1.0080	1.0079	PASS_SUBQUADRATIC
depth	bincode_ser	4	1.0006	1.0204	1.0237	PASS_SUBQUADRATIC
depth	pretty	4	1.0246	1.0245	1.0388	PASS_SUBQUADRATIC
depth	normalize	4	0.9939	0.9962	0.9965	PASS_SUBQUADRATIC
depth	inj_attempt_clone	4	0.9856	0.9889	0.9888	PASS_SUBQUADRATIC
depth	clone	4	1.0006	1.0013	0.9987	PASS_SUBQUADRATIC
depth	clone_send_chain	4	1.0094	1.0125	1.0060	PASS_SUBQUADRATIC
depth	ord	4	1.0214	1.0779	1.0891	PASS_SUBQUADRATIC
depth	debug	4	0.9859	0.9656	0.9493	PASS_SUBQUADRATIC
depth	substitute_deep_binding	4	0.9677	0.9709	0.9694	PASS_SUBQUADRATIC
depth	clone_nested_set	4	1.0036	1.0049	1.0011	PASS_SUBQUADRATIC
depth	subst_and_charge	4	0.9685	0.9367	0.9256	PASS_SUBQUADRATIC
depth	par_drop	4	1.0016	1.0030	0.9991	PASS_SUBQUADRATIC
depth	normalize_drop	4	0.9940	0.9963	0.9966	PASS_SUBQUADRATIC
depth	encode	4	1.0003	1.0210	1.0296	PASS_SUBQUADRATIC
depth	protobuf_de	4	0.9749	0.9351	0.9215	PASS_SUBQUADRATIC
depth	eq	4	1.0175	1.0674	1.0794	PASS_SUBQUADRATIC
depth	hash	4	1.0059	1.0326	1.0377	PASS_SUBQUADRATIC
depth	hash_nested_set	4	1.0100	1.0387	1.0418	PASS_SUBQUADRATIC
depth	hash_pathmap_set	4	0.9918	0.9948	0.9882	PASS_SUBQUADRATIC
depth	hash_pathmap_map	4	1.0175	1.0190	1.0152	PASS_SUBQUADRATIC
depth	message_clear	4	0.9892	0.9914	0.9881	PASS_SUBQUADRATIC
depth	clone_pathmap_chain	4	1.0186	1.0157	1.0119	PASS_SUBQUADRATIC
depth	pathmap_chain_drop	4	1.0158	1.0137	1.0102	PASS_SUBQUADRATIC
width	substitute_wide	4	0.9606	0.9142	0.9076	PASS_SUBQUADRATIC
width	sort_wide	4	0.9462	0.9318	0.9228	PASS_SUBQUADRATIC
width	score_cmp_wide	4	1.0970	1.3921	1.4007	PASS_SUBQUADRATIC
width	free_check	4	1.0127	1.0425	1.0452	PASS_SUBQUADRATIC
width	pretty_wide	4	1.0073	1.0272	1.0417	PASS_SUBQUADRATIC
width	normalize_wide	4	0.9997	1.0013	0.9985	PASS_SUBQUADRATIC
