iteration,provider,exit_code,start_utc,finish_utc,duration_s,reported_p50_ms,reported_p95_ms,reported_p99_ms,reported_latency_samples,unfinalized,log_path
1,docker,0,2026-09-08T05:04:29Z,2026-09-08T05:13:17Z,528,24200,27900,28700,5,0,iteration-00001-docker/pytest.log
2,subprocess,0,2026-09-08T05:13:18Z,2026-09-08T05:23:17Z,599,25600,57700,65500,5,0,iteration-00002-subprocess/pytest.log
3,docker,0,2026-09-08T05:23:17Z,2026-09-08T05:31:54Z,517,15700,33700,39000,5,0,iteration-00003-docker/pytest.log
4,subprocess,0,2026-09-08T05:31:54Z,2026-09-08T05:42:15Z,621,24600,49300,59800,5,0,iteration-00004-subprocess/pytest.log
5,docker,0,2026-09-08T05:42:16Z,2026-09-08T05:51:06Z,530,18200,38400,45200,5,0,iteration-00005-docker/pytest.log
6,subprocess,0,2026-09-08T05:51:07Z,2026-09-08T06:01:23Z,616,25600,49600,58300,5,0,iteration-00006-subprocess/pytest.log
7,docker,0,2026-09-08T06:01:24Z,2026-09-08T06:10:10Z,526,24500,28700,30300,5,0,iteration-00007-docker/pytest.log
8,subprocess,0,2026-09-08T06:10:11Z,2026-09-08T06:19:53Z,582,24200,52800,64800,5,0,iteration-00008-subprocess/pytest.log
9,docker,0,2026-09-08T06:19:54Z,2026-09-08T06:28:38Z,524,16400,39300,45500,5,0,iteration-00009-docker/pytest.log
10,subprocess,0,2026-09-08T06:28:39Z,2026-09-08T06:38:37Z,598,23900,55700,62500,5,0,iteration-00010-subprocess/pytest.log
11,docker,0,2026-09-08T06:38:38Z,2026-09-08T06:47:25Z,527,20000,24900,25500,5,0,iteration-00011-docker/pytest.log
12,subprocess,0,2026-09-08T06:47:25Z,2026-09-08T06:58:02Z,637,27600,60800,72100,5,0,iteration-00012-subprocess/pytest.log
13,docker,0,2026-09-08T06:58:02Z,2026-09-08T07:06:53Z,531,15700,32500,37200,5,0,iteration-00013-docker/pytest.log
14,subprocess,0,2026-09-08T07:06:54Z,2026-09-08T07:16:58Z,604,25400,59800,67100,5,0,iteration-00014-subprocess/pytest.log
15,docker,0,2026-09-08T07:16:59Z,2026-09-08T07:25:39Z,520,15800,29800,34600,5,0,iteration-00015-docker/pytest.log
16,subprocess,0,2026-09-08T07:25:40Z,2026-09-08T07:35:24Z,584,26000,57500,63600,5,0,iteration-00016-subprocess/pytest.log
17,docker,0,2026-09-08T07:35:25Z,2026-09-08T07:44:09Z,524,15900,29500,37800,5,0,iteration-00017-docker/pytest.log
18,subprocess,0,2026-09-08T07:44:10Z,2026-09-08T07:55:18Z,668,29300,54400,60600,5,0,iteration-00018-subprocess/pytest.log
19,docker,0,2026-09-08T07:55:19Z,2026-09-08T08:04:18Z,539,17100,34700,39700,5,0,iteration-00019-docker/pytest.log
20,subprocess,0,2026-09-08T08:04:18Z,2026-09-08T08:14:35Z,617,26000,48600,52900,5,0,iteration-00020-subprocess/pytest.log
21,docker,0,2026-09-08T08:14:35Z,2026-09-08T08:23:10Z,515,17300,33000,36800,5,0,iteration-00021-docker/pytest.log
22,subprocess,0,2026-09-08T08:23:11Z,2026-09-08T08:33:35Z,624,25800,59700,69400,5,0,iteration-00022-subprocess/pytest.log
23,docker,0,2026-09-08T08:33:36Z,2026-09-08T08:42:24Z,528,17400,37600,44700,5,0,iteration-00023-docker/pytest.log
24,subprocess,0,2026-09-08T08:42:25Z,2026-09-08T08:52:45Z,620,26400,60000,69900,5,0,iteration-00024-subprocess/pytest.log
25,docker,0,2026-09-08T08:52:46Z,2026-09-08T09:01:32Z,526,18000,40700,45500,5,0,iteration-00025-docker/pytest.log
26,subprocess,0,2026-09-08T09:01:33Z,2026-09-08T09:12:16Z,643,26800,56400,67100,5,0,iteration-00026-subprocess/pytest.log
27,docker,0,2026-09-08T09:12:16Z,2026-09-08T09:20:59Z,523,17200,35600,40900,5,0,iteration-00027-docker/pytest.log
28,subprocess,0,2026-09-08T09:21:00Z,2026-09-08T09:31:40Z,640,29700,56000,64400,5,0,iteration-00028-subprocess/pytest.log
29,docker,0,2026-09-08T09:31:41Z,2026-09-08T09:40:39Z,538,15500,25100,28800,5,0,iteration-00029-docker/pytest.log
30,subprocess,0,2026-09-08T09:40:40Z,2026-09-08T09:50:58Z,618,22000,59700,67400,5,0,iteration-00030-subprocess/pytest.log
