iteration,provider,phase,inclusion_p50_s,inclusion_p95_s,finalization_p50_s,finalization_p95_s,lfb_start,lfb_end,lfb_blocks_per_minute,unfinalized,log_path,log_line
1,docker,low,3.4,6.0,19.9,23.4,1,10,10.3,0,iteration-00001-docker/pytest.log,29
1,docker,medium,6.7,10.8,24.2,27.9,10,19,11.2,0,iteration-00001-docker/pytest.log,304
1,docker,high,5.4,8.6,18.2,23.7,19,32,20.9,0,iteration-00001-docker/pytest.log,579
1,docker,burst,5.7,6.7,19.6,19.6,32,37,14.8,0,iteration-00001-docker/pytest.log,854
1,docker,sustained,4.0,8.8,15.1,25.2,37,177,26.8,0,iteration-00001-docker/pytest.log,1129
2,subprocess,low,3.4,5.9,20.8,24.8,1,9,9.9,0,iteration-00002-subprocess/pytest.log,27
2,subprocess,medium,5.1,8.9,18.2,21.8,9,20,17.2,0,iteration-00002-subprocess/pytest.log,302
2,subprocess,high,6.4,10.6,20.2,24.9,20,29,14.5,0,iteration-00002-subprocess/pytest.log,577
2,subprocess,burst,7.5,8.5,21.4,21.4,29,33,10.7,0,iteration-00002-subprocess/pytest.log,852
2,subprocess,sustained,5.6,18.9,25.6,57.7,33,151,21.0,0,iteration-00002-subprocess/pytest.log,1127
3,docker,low,3.9,6.9,20.9,23.4,1,9,9.6,0,iteration-00003-docker/pytest.log,28
3,docker,medium,6.6,11.2,19.4,24.1,9,19,17.5,0,iteration-00003-docker/pytest.log,303
3,docker,high,5.8,9.3,16.2,22.5,19,30,17.7,0,iteration-00003-docker/pytest.log,578
3,docker,burst,5.7,6.7,13.6,14.6,30,34,15.8,0,iteration-00003-docker/pytest.log,853
3,docker,sustained,4.5,10.1,15.7,33.7,34,166,24.4,0,iteration-00003-docker/pytest.log,1128
4,subprocess,low,3.9,6.9,20.8,23.8,1,9,9.4,0,iteration-00004-subprocess/pytest.log,26
4,subprocess,medium,5.0,8.8,18.5,22.0,9,20,15.2,0,iteration-00004-subprocess/pytest.log,301
4,subprocess,high,6.1,10.7,20.6,26.6,20,31,16.8,0,iteration-00004-subprocess/pytest.log,576
4,subprocess,burst,6.4,7.4,20.3,20.4,31,35,11.3,0,iteration-00004-subprocess/pytest.log,851
4,subprocess,sustained,5.9,11.6,24.6,49.3,35,142,18.9,0,iteration-00004-subprocess/pytest.log,1126
5,docker,low,3.9,6.9,20.9,23.9,1,9,9.4,0,iteration-00005-docker/pytest.log,28
5,docker,medium,6.7,11.1,18.7,23.9,9,17,14.4,0,iteration-00005-docker/pytest.log,303
5,docker,high,5.4,9.1,16.4,20.2,17,29,22.3,0,iteration-00005-docker/pytest.log,578
5,docker,burst,6.6,7.7,19.6,19.6,29,33,11.9,0,iteration-00005-docker/pytest.log,853
5,docker,sustained,4.7,9.7,18.2,38.4,33,169,25.3,0,iteration-00005-docker/pytest.log,1128
6,subprocess,low,3.9,6.9,20.8,23.8,1,9,9.4,0,iteration-00006-subprocess/pytest.log,26
6,subprocess,medium,5.4,9.2,19.2,25.6,9,19,14.2,0,iteration-00006-subprocess/pytest.log,301
6,subprocess,high,6.4,9.8,22.6,27.5,19,29,16.5,0,iteration-00006-subprocess/pytest.log,576
6,subprocess,burst,7.5,8.5,21.4,26.4,29,34,11.0,0,iteration-00006-subprocess/pytest.log,851
6,subprocess,sustained,5.8,13.9,25.6,49.6,34,149,20.6,0,iteration-00006-subprocess/pytest.log,1126
7,docker,low,3.9,6.9,19.9,23.9,1,9,9.6,0,iteration-00007-docker/pytest.log,28
7,docker,medium,7.3,13.7,24.5,28.7,9,18,12.2,0,iteration-00007-docker/pytest.log,303
7,docker,high,5.7,9.4,18.9,23.7,18,31,18.5,0,iteration-00007-docker/pytest.log,578
7,docker,burst,6.7,7.7,14.6,14.6,31,35,15.8,0,iteration-00007-docker/pytest.log,853
7,docker,sustained,4.4,8.9,15.9,28.4,35,164,24.2,0,iteration-00007-docker/pytest.log,1128
8,subprocess,low,3.9,6.9,20.8,24.3,1,9,9.4,0,iteration-00008-subprocess/pytest.log,26
8,subprocess,medium,5.2,9.2,18.6,21.9,9,20,15.2,0,iteration-00008-subprocess/pytest.log,301
8,subprocess,high,5.9,10.3,17.7,21.6,20,30,18.6,0,iteration-00008-subprocess/pytest.log,576
8,subprocess,burst,7.4,8.5,21.3,21.4,30,34,10.7,0,iteration-00008-subprocess/pytest.log,851
8,subprocess,sustained,5.6,13.8,24.2,52.8,34,143,19.8,0,iteration-00008-subprocess/pytest.log,1126
9,docker,low,3.9,6.9,20.9,23.9,1,9,9.4,0,iteration-00009-docker/pytest.log,28
9,docker,medium,6.2,11.2,19.0,23.9,9,17,14.5,0,iteration-00009-docker/pytest.log,303
9,docker,high,5.2,8.4,16.8,23.0,17,29,17.5,0,iteration-00009-docker/pytest.log,578
9,docker,burst,5.7,6.7,19.6,19.7,29,34,14.8,0,iteration-00009-docker/pytest.log,853
9,docker,sustained,4.5,9.8,16.4,39.3,34,166,24.4,0,iteration-00009-docker/pytest.log,1128
10,subprocess,low,3.9,6.9,22.8,28.8,1,9,9.4,0,iteration-00010-subprocess/pytest.log,26
10,subprocess,medium,5.7,9.5,18.7,21.9,9,20,17.7,0,iteration-00010-subprocess/pytest.log,301
10,subprocess,high,6.6,10.0,22.2,27.9,20,33,22.7,0,iteration-00010-subprocess/pytest.log,576
10,subprocess,burst,6.5,7.5,20.4,26.4,33,37,8.8,0,iteration-00010-subprocess/pytest.log,851
10,subprocess,sustained,5.7,17.9,23.9,55.7,37,154,20.8,0,iteration-00010-subprocess/pytest.log,1126
11,docker,low,3.9,6.9,19.9,22.9,1,9,9.6,0,iteration-00011-docker/pytest.log,28
11,docker,medium,6.6,11.3,20.0,24.9,9,20,14.6,0,iteration-00011-docker/pytest.log,303
